Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,if_anomaly_label,if_anomaly_score,if_risk_score,ocsvm_anomaly_label,ocsvm_anomaly_score,ocsvm_risk_score,rf_prediction,rf_failure_probability,if_risk_score_normalized,ocsvm_risk_score_normalized,ai_anomaly_vote_count,combined_ai_risk_score,scaled_Type,scaled_Air temperature [K],scaled_Process temperature [K],scaled_Rotational speed [rpm],scaled_Torque [Nm],scaled_Tool wear [min]
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,0,0.09867770563042033,-0.09867770563042033,0,3.4678484273578114,-3.4678484273578114,0,0.0,0.2831162019871001,0.18650661262032428,0,0.15054780331890488,0.7444127434486935,-0.9523894433829583,-0.9473598877173399,0.06818514034143007,0.28219975602413067,-1.6959837443286894
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,0.11810764587667422,-0.11810764587667422,0,1.558179666732027,-1.558179666732027,0,0.003278702409689578,0.21949616602233982,0.27217315653880636,0,0.14354457868057305,-0.7453065750397865,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.6333080199205777,-1.6488517007812828
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,0.11405704068340566,-0.11405704068340566,0,1.3947772765541266,-1.3947772765541266,0,0.00327439257091973,0.23275918406607646,0.279503285366998,0,0.15031408772819807,-0.7453065750397865,-0.9523894433829583,-1.014760773322907,-0.2274498401554495,0.9442896250860024,-1.6174303384163453
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,0.12464105222566774,-0.12464105222566774,0,0.9728778039021222,-0.9728778039021222,0,0.003278702409689578,0.19810363770638165,0.2984294313292348,0,0.14023882231227547,-0.7453065750397865,-0.9023934097553371,-0.9473598877173399,-0.5900210426516226,-0.04884517850680491,-1.5860089760514078
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,0.12882061477977652,-0.12882061477977652,0,0.8612996402757744,-0.8612996402757744,0,0.0028572483023324474,0.18441837070919503,0.3034347578296839,0,0.13559719917054777,-0.7453065750397865,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.0013131449069732513,-1.55458761368647
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,0,0.11953510649397986,-0.11953510649397986,0,3.9158129284210546,-3.9158129284210546,0,0.0,0.21482218891997723,0.1664112058170628,0,0.11921111673140346,0.7444127434486935,-0.9523894433829583,-0.9473598877173399,-0.6346451906511515,0.1919147738793301,-1.5231662513215325
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,0.14236446867656466,-0.14236446867656466,0,1.9427669614589114,-1.9427669614589114,0,0.0,0.140071323775726,0.254920811496824,0,0.10701269180965521,-0.7453065750397865,-0.9523894433829583,-0.9473598877173399,0.10723126984101794,0.24207309729310825,-1.4760342077741262
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,0.147347458099983,-0.147347458099983,0,2.1206259778636003,-2.1206259778636003,0,0.0,0.12375537208920359,0.24694216747526215,0,0.09889058233073386,-0.7453065750397865,-0.9523894433829583,-0.9473598877173399,-0.0656873036571569,0.021376474272484798,-1.4446128454091884
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,0,0.10034001493073325,-0.10034001493073325,0,3.559828019960687,-3.559828019960687,0,0.0,0.2776732527999119,0.18238046573465377,0,0.14754539426689553,0.7444127434486935,-0.8523973761276875,-0.8799590021118113,0.7152352863346004,-1.1422966289271685,-1.413191483044251
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,0,0.08946765367023124,-0.08946765367023124,0,3.822342590597934,-3.822342590597934,0,0.0,0.31327295128834987,0.1706042265991464,0,0.15943002583516924,0.7444127434486935,-0.7524053088724167,-0.6777563452951486,1.1280086553302437,-1.2024866170237025,-1.3660594394968446
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,0.008464307239210656,-0.008464307239210656,0,0.4411515736452536,-0.4411515736452536,0,0.0,0.578504637433193,0.32228233681530566,0,0.29585832233633835,2.2341320619371734,-0.8024013425000663,-0.7451572309007156,1.3567074138278297,-1.6137848690166836,-1.318927395949438
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,0.08135915572526886,-0.08135915572526886,0,2.1880476413690033,-2.1880476413690033,0,0.02773250319632047,0.3398228492468961,0.2439176738998161,0,0.19580567575724986,2.2341320619371734,-0.7024092752447672,-0.6103554596895817,-0.6458012276510338,0.4326747262654651,-1.240373990037094
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,0,0.10787036797688049,-0.10787036797688049,0,5.22902305258836,-5.22902305258836,0,0.0,0.25301639201951925,0.1075014225626575,0,0.12270684132033921,0.7444127434486935,-0.7024092752447672,-0.6103554596895817,-1.1143547816460881,1.1148279246928485,-1.1618205841247502
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,0,0.10433797815401247,-0.10433797815401247,0,4.681858079937751,-4.681858079937751,0,0.003273529287017008,0.26458260193700706,0.13204690035791047,0,0.13355183256119174,0.7444127434486935,-0.7024092752447672,-0.542954574084053,1.1335866738301847,-1.0018533233685898,-1.1146885405773437
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,0.026919050747104212,-0.026919050747104212,0,1.6089306172167603,-1.6089306172167603,0,0.0,0.5180777173906066,0.269896500702859,0,0.26121038709681443,-0.7453065750397865,-0.7024092752447672,-0.542954574084053,2.767946094312934,-2.0451464503751753,-1.0675564970299374
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,0.14608404193219737,-0.14608404193219737,0,2.5388762934307323,-2.5388762934307323,0,0.0,0.12789221353154817,0.228179720413129,0,0.09679282949524508,-0.7453065750397865,-0.7024092752447672,-0.542954574084053,0.017982973841959956,0.8439729782584461,-1.0361351346649996
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,0,0.11595095287534757,-0.11595095287534757,0,4.556576778209838,-4.556576778209838,0,0.0,0.22655789058609918,0.1376669410466014,0,0.11815654444375995,0.7444127434486935,-0.7024092752447672,-0.542954574084053,-1.2705392996444398,0.663403013968845,-1.004713772300062
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,0,0.14858164273518187,-0.14858164273518187,0,5.981416735096026,-5.981416735096026,0,0.0,0.11971424433052998,0.07374951344863397,0,0.06263560042193879,0.7444127434486935,-0.652413241617146,-0.542954574084053,-0.7183154681502684,0.5630863671412888,-0.9575817287526557
